finaldays,Date,Teams,Side,Opponent,Won,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Pick1,Pick2,Pick3,Pick4,Pick5,Pick6,Ban7,Ban8,Ban9,Ban10,Pick7,Pick8,Pick9,Pick10
-559.62125,2024-03-16T20:01:00Z,100 Thieves,blue,NRG,TRUE,Kalista,Vi,Twisted Fate,Senna,Jayce,Lee Sin,Ahri,Nautilus,Taliyah,Kai'Sa,Rell,Xin Zhao,Jax,Renekton,Olaf,Varus,Zeri,Aatrox,Nocturne,K'Sante
-553.62125,2024-03-22T20:01:00Z,100 Thieves,blue,Team Liquid,FALSE,Kalista,Vi,Smolder,Lee Sin,Varus,Senna,Maokai,Xayah,Rakan,Jayce,K'Sante,Taliyah,Zeri,Twisted Fate,Kai'Sa,Volibear,Rell,Jinx,Tahm Kench,Renekton
-553.62125,2024-03-22T20:01:00Z,100 Thieves,blue,Team Liquid,TRUE,Kalista,Vi,Smolder,Lee Sin,Varus,Senna,Taliyah,Xayah,Rakan,Kai'Sa,Nautilus,Ziggs,Aatrox,Gragas,Yone,Renekton,Volibear,Jarvan IV,Jax,K'Sante
-553.62125,2024-03-22T20:01:00Z,100 Thieves,red,Team Liquid,FALSE,Vi,Kalista,Lee Sin,Varus,Ahri,Senna,Taliyah,Nautilus,Veigar,Smolder,Tahm Kench,Kai'Sa,Volibear,Aatrox,Trundle,Olaf,Xin Zhao,Jax,K'Sante,Renekton
-553.62125,2024-03-22T20:01:00Z,100 Thieves,blue,Team Liquid,FALSE,Kalista,Vi,Varus,Senna,Smolder,Kai'Sa,Taliyah,Xayah,Rakan,Aphelios,Renata Glasc,Aurelion Sol,Aatrox,Jax,Poppy,K'Sante,Lee Sin,Yone,Renekton,Gragas
-468.310625,2024-06-16T20:04:00Z,100 Thieves,blue,NRG,TRUE,Rumble,Skarner,Senna,Vi,Ashe,Nidalee,Taliyah,Tristana,Maokai,Nautilus,Ezreal,Twisted Fate,Jax,Kalista,Jayce,Varus,Rell,Renekton,Kai'Sa,Smolder
-468.310625,2024-06-16T20:04:00Z,100 Thieves,red,NRG,TRUE,Ezreal,Rumble,Vi,Skarner,Nautilus,Ashe,Nidalee,Tristana,Leona,Corki,Braum,Jinx,Varus,Taliyah,Aphelios,Olaf,Zyra,K'Sante,Kai'Sa,Camille
-462.310625,2024-06-22T21:57:01.700Z,100 Thieves,blue,Dignitas,FALSE,Poppy,Ezreal,Rumble,Skarner,Nautilus,Taliyah,Senna,Corki,Leona,Karthus,Yone,Zyra,Ornn,Jax,Tahm Kench,Renekton,K'Sante,Camille,Sion,Smolder
-462.310625,2024-06-22T22:47:56.988Z,100 Thieves,blue,Dignitas,FALSE,Rumble,Senna,Nautilus,Karthus,Poppy,Skarner,Ashe,Leona,Corki,Vi,Taliyah,Ezreal,Kalista,Jax,Camille,Nidalee,Renekton,K'Sante,Braum,Morgana
-457.310625,2024-06-27T21:57:39.728Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Senna,Tristana,Vi,Twisted Fate,Ashe,Skarner,Corki,Sejuani,Ezreal,Leona,Mordekaiser,Zyra,Kalista,Karthus,Nautilus,Lucian,Brand,Aphelios,Nami
-457.310625,2024-06-27T22:55:52.970Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Senna,Tristana,Vi,Skarner,Corki,Ashe,Sejuani,Zeri,Zyra,Renekton,K'Sante,Yone,Rakan,Braum,Nautilus,Alistar,Seraphine,Ezreal,Ziggs
-432.87375,2024-07-21T20:07:58.545Z,100 Thieves,red,Cloud9,FALSE,Vi,Ashe,Jayce,Ezreal,Lucian,Sejuani,Tristana,Azir,Leona,Nidalee,Renekton,K'Sante,Braum,Lee Sin,Nautilus,Xin Zhao,Poppy,Zeri,Alistar,Kai'Sa
-432.87375,2024-07-21T20:54:35.021Z,100 Thieves,blue,Cloud9,FALSE,Tristana,Vi,Ezreal,Jayce,Yone,Sejuani,Ashe,Renekton,Nidalee,K'Sante,Corki,Zeri,Braum,Ziggs,Leona,Miss Fortune,Lucian,Nautilus,Brand,Alistar
-425.87375,2024-07-28T20:07:58.727Z,100 Thieves,red,FlyQuest,TRUE,Vi,Renekton,Sejuani,Ashe,Miss Fortune,Ezreal,Kalista,Zeri,Brand,Nidalee,Lucian,Jhin,Neeko,Camille,Renata Glasc,Leona,Nautilus,Bard,K'Sante,Jax
-425.87375,2024-07-28T20:56:24.844Z,100 Thieves,red,FlyQuest,FALSE,Vi,Renekton,Sejuani,Ashe,Miss Fortune,Ezreal,Kalista,Jhin,Nidalee,Lillia,Lucian,Zeri,Renata Glasc,Leona,Neeko,Jax,Nautilus,Rell,K'Sante,Camille
-425.87375,2024-07-28T21:43:30.572Z,100 Thieves,blue,FlyQuest,FALSE,Renekton,Vi,Lucian,Sejuani,Ashe,Ezreal,Zeri,Kalista,Corki,Miss Fortune,Rell,Leona,Brand,Urgot,Jax,Twisted Fate,Ivern,Lillia,K'Sante,Darius
-420.436875,2024-08-03T21:49:11.149Z,100 Thieves,blue,Immortals Progressive,TRUE,Ivern,Sejuani,Jayce,Vi,Ashe,Aurora,Lucian,Renekton,Lillia,Jax,Zyra,Corki,Braum,Ezreal,Leona,Kalista,Rell,Zeri,Alistar,Kai'Sa
-420.436875,2024-08-03T22:53:17.108Z,100 Thieves,blue,Immortals Progressive,TRUE,Ivern,Aurora,Jayce,Sejuani,Ashe,Vi,Renekton,Rumble,Lucian,Nidalee,Zeri,Lillia,Braum,Leona,Alistar,Rell,Nautilus,Rakan,Yone,Kalista
-413.436875,2024-08-10T21:35:22.583Z,100 Thieves,red,Shopify Rebellion,TRUE,Vi,Ivern,Nidalee,Rumble,Zeri,Ashe,Brand,Renekton,Lillia,Ezreal,Corki,Kai'Sa,Leona,Lucian,Gnar,Tristana,Yasuo,Nautilus,K'Sante,Rell
-413.436875,2024-08-10T22:18:38.964Z,100 Thieves,red,Shopify Rebellion,FALSE,Vi,Ivern,Nidalee,Rumble,Zeri,Ashe,Aurora,Yone,Sejuani,Leona,Renekton,Ziggs,Kai'Sa,Jayce,Kalista,Jax,Rakan,Sivir,Evelynn,Olaf
-413.436875,2024-08-10T23:06:28.858Z,100 Thieves,blue,Shopify Rebellion,TRUE,Ivern,Vi,Evelynn,Nidalee,Ashe,Jax,Aurora,Renekton,Lillia,Kayn,K'Sante,Leona,Miss Fortune,Ezreal,Kalista,Kai'Sa,Zeri,Xayah,Rakan,Vayne
-406.436875,2024-08-17T20:07:33.875Z,100 Thieves,red,Dignitas,TRUE,Vi,Ivern,Jax,Rumble,Kai'Sa,Ashe,Ezreal,Azir,Miss Fortune,K'Sante,Lillia,Renekton,Zeri,Nidalee,Leona,Braum,Viego,Corki,Rell,Nautilus
-406.436875,2024-08-17T20:56:09.037Z,100 Thieves,red,Dignitas,TRUE,Vi,Ivern,Azir,Rumble,Miss Fortune,Ashe,Zeri,Lillia,Smolder,Renekton,Brand,Jax,Leona,Kai'Sa,Rell,Nautilus,Rakan,Kalista,Renata Glasc,Xayah
-406.436875,2024-08-17T21:41:12.074Z,100 Thieves,red,Dignitas,TRUE,Vi,Ivern,Miss Fortune,Rumble,Jax,Ashe,Azir,Lillia,Zeri,Maokai,Renekton,K'Sante,Kai'Sa,Ziggs,Leona,Smolder,Nautilus,Ezreal,Braum,Senna
-399.436875,2024-08-24T20:08:08.257Z,100 Thieves,red,Team Liquid,FALSE,Lillia,Rumble,Azir,Ezreal,Miss Fortune,Corki,Vi,Renekton,Smolder,Ornn,Taliyah,Maokai,Rakan,Senna,Alistar,Xayah,Rell,Kai'Sa,Nautilus,Varus
-399.436875,2024-08-24T20:56:40.426Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Azir,Ezreal,Lillia,Corki,Vi,Smolder,Taliyah,Sejuani,Jax,Nautilus,K'Sante,Brand,Rakan,Senna,Kai'Sa,Rell,Zyra,Miss Fortune,Zeri
-399.436875,2024-08-24T21:48:10.631Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Lillia,Corki,Azir,Taliyah,Vi,Smolder,Sejuani,Ezreal,Leona,Ivern,Ziggs,Miss Fortune,Rakan,Kalista,Alistar,Rell,Zeri,Renekton,Gangplank
-393.436875,2024-08-30T20:08:53.577Z,100 Thieves,blue,Dignitas,FALSE,Rumble,Smolder,Ivern,Azir,Poppy,Lillia,Rell,Nasus,Senna,Ziggs,K'Sante,Ezreal,Vi,Maokai,Corki,LeBlanc,Amumu,Sylas,Nocturne,Wukong
-393.436875,2024-08-30T20:52:54.788Z,100 Thieves,blue,Dignitas,TRUE,Rumble,Smolder,Ivern,Azir,Nasus,Lillia,Rell,Senna,Maokai,Amumu,Miss Fortune,Kalista,Jax,Poppy,Olaf,Wukong,K'Sante,Renekton,Yone,Corki
-393.436875,2024-08-30T21:38:59.526Z,100 Thieves,red,Dignitas,FALSE,Yone,Rumble,Vi,Nasus,Lillia,Ivern,Smolder,Azir,Rell,Amumu,Senna,Miss Fortune,Poppy,Nocturne,Ezreal,Jax,Jarvan IV,Kalista,K'Sante,Olaf
-393.436875,2024-08-30T22:33:21.295Z,100 Thieves,blue,Dignitas,TRUE,Rumble,Smolder,Nasus,Azir,Ivern,Lillia,Amumu,Senna,Maokai,Yone,Ziggs,Kalista,Jax,Poppy,Renekton,Tristana,K'Sante,Nautilus,Camille,Hwei
-392,2024-09-01T20:06:30.523Z,100 Thieves,red,Cloud9,TRUE,Azir,Rumble,Smolder,Ezreal,Lillia,Nasus,Miss Fortune,Ziggs,Rell,Renekton,LeBlanc,K'Sante,Poppy,Vi,Lee Sin,Yasuo,Corki,Nidalee,Alistar,Maokai
-392,2024-09-01T20:58:06.595Z,100 Thieves,red,Cloud9,FALSE,Smolder,Rumble,Lillia,Ezreal,Miss Fortune,Azir,Nasus,Ziggs,Renekton,Kai'Sa,Gnar,Nautilus,Maokai,Corki,Rell,Amumu,Vi,Ivern,Leona,Garen
-392,2024-09-01T21:46:23.534Z,100 Thieves,blue,Cloud9,TRUE,Rumble,Smolder,Nasus,Lillia,Kai'Sa,Azir,Ziggs,Miss Fortune,Ivern,Rell,Renekton,Gnar,Vi,Leona,Yasuo,Braum,Alistar,Zeri,Maokai,LeBlanc
-392,2024-09-01T22:37:41.602Z,100 Thieves,red,Cloud9,TRUE,Smolder,Rumble,Lillia,Nasus,Azir,Gnar,Ziggs,Renekton,Rell,K'Sante,Leona,Kai'Sa,Ivern,Vi,Tristana,Maokai,Sejuani,Skarner,Corki,Yone
-387,2024-09-06T20:13:25.780Z,100 Thieves,red,FlyQuest,FALSE,Rell,Nasus,Ziggs,Smolder,Yone,Lillia,Renekton,K'Sante,Azir,Aurelion Sol,Amumu,Maokai,Kalista,Braum,Kai'Sa,Miss Fortune,Ezreal,Ashe,Leona,Bard
-387,2024-09-06T21:02:52.624Z,100 Thieves,blue,FlyQuest,FALSE,Nasus,Rell,Ashe,Smolder,Renekton,Lillia,Ziggs,Leona,Kai'Sa,Nautilus,Jax,Corki,Vi,Ivern,Sejuani,Urgot,Amumu,Zeri,Zyra,Rumble
